symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
TS1906,20181112,,,,98.895,0,8.0,0.0,99.6,99.615,TS
TS1812,20181113,99.95,99.95,99.88,99.885,53,1624.0,10589.37,99.9,99.9,TS
TS1903,20181113,,,,99.875,0,663.0,0.0,99.845,99.845,TS
TS1906,20181113,,,,98.895,0,8.0,0.0,99.6,99.6,TS
TS1812,20181114,99.945,100.095,99.93,100.05,254,1548.0,50816.55,100.055,99.9,TS
TS1903,20181114,99.965,100.025,99.95,100.0,47,695.0,9398.74,100.0,99.845,TS
TS1906,20181114,99.975,100.0,99.975,100.0,6,14.0,1199.95,99.995,99.6,TS
TS1812,20181115,100.05,100.1,100.05,100.055,85,1532.0,17012.72,100.06,100.055,TS
TS1903,20181115,100.1,100.1,100.01,100.01,18,697.0,3602.45,100.015,100.0,TS
TS1906,20181115,,,,100.0,0,14.0,0.0,100.0,99.995,TS
TS1812,20181116,100.06,100.1,100.005,100.075,100,1477.0,20015.89,100.075,100.06,TS
TS1903,20181116,99.99,100.08,99.99,100.06,165,809.0,33019.39,100.055,100.015,TS
TS1906,20181116,100.15,100.15,100.15,100.15,1,14.0,200.3,100.15,100.0,TS
TS1812,20181119,100.08,100.08,100.015,100.065,158,1379.0,31616.74,100.035,100.075,TS
TS1903,20181119,100.06,100.08,100.02,100.025,110,827.0,22013.01,100.035,100.055,TS
TS1906,20181119,,,,100.15,0,14.0,0.0,100.11,100.15,TS
TS1812,20181120,100.045,100.09,100.03,100.035,69,1341.0,13807.92,100.035,100.035,TS
TS1903,20181120,100.0,100.05,100.0,100.04,53,829.0,10603.19,100.04,100.035,TS
TS1906,20181120,,,,100.15,0,14.0,0.0,100.11,100.11,TS
TS1812,20181121,100.105,100.14,100.035,100.04,58,1321.0,11607.69,100.035,100.035,TS
TS1903,20181121,100.09,100.09,100.0,100.04,77,833.0,15405.34,100.035,100.04,TS
TS1906,20181121,,,,100.15,0,14.0,0.0,100.11,100.11,TS
TS1812,20181122,100.04,100.065,99.995,100.04,64,1291.0,12805.35,100.025,100.035,TS
TS1903,20181122,100.05,100.065,99.97,99.975,242,837.0,48408.52,99.98,100.035,TS
TS1906,20181122,,,,100.15,0,14.0,0.0,100.1,100.11,TS
TS1812,20181123,100.07,100.07,99.965,100.03,31,1278.0,6200.99,100.03,100.025,TS
TS1903,20181123,100.0,100.025,99.96,99.975,116,840.0,23198.46,99.975,99.98,TS
TS1906,20181123,,,,100.15,0,14.0,0.0,100.105,100.1,TS
TS1812,20181126,100.135,100.135,99.98,100.045,85,1235.0,17009.88,100.045,100.03,TS
TS1903,20181126,99.995,100.015,99.925,99.96,188,865.0,37587.54,99.96,99.975,TS
TS1906,20181126,,,,100.15,0,14.0,0.0,100.12,100.105,TS
TS1812,20181127,99.9,100.11,99.9,99.99,74,1198.0,14796.05,100.025,100.045,TS
TS1903,20181127,99.95,100.0,99.93,99.985,134,893.0,26791.22,99.975,99.96,TS
TS1906,20181127,,,,100.15,0,14.0,0.0,100.1,100.12,TS
TS1812,20181128,100.075,100.095,100.03,100.095,23,1193.0,4603.03,100.075,100.025,TS
TS1903,20181128,99.99,100.0,99.94,99.99,60,889.0,11997.54,99.965,99.975,TS
TS1906,20181128,,,,100.15,0,14.0,0.0,100.15,100.1,TS
TS1812,20181129,100.0,100.1,100.0,100.09,879,318.0,175931.93,100.085,100.075,TS
TS1903,20181129,100.0,100.035,99.965,100.02,93,887.0,18601.22,100.025,99.965,TS
TS1906,20181129,,,,100.15,0,14.0,0.0,100.16,100.15,TS
TS1812,20181130,100.055,100.055,100.0,100.0,4,316.0,800.22,100.0,100.085,TS
TS1903,20181130,100.025,100.05,99.95,99.965,326,729.0,65184.12,99.95,100.025,TS
TS1906,20181130,,,,100.15,0,14.0,0.0,100.075,100.16,TS
TS1812,20181203,,,,100.0,0,316.0,0.0,100.0,100.0,TS
TS1903,20181203,99.72,100.0,99.72,99.96,260,730.0,51970.91,99.95,99.95,TS
TS1906,20181203,99.975,99.975,99.975,99.975,3,14.0,599.85,99.975,100.075,TS
TS1812,20181204,,,,100.0,0,210.0,0.0,100.09,100.0,TS
TS1903,20181204,99.96,100.065,99.96,100.06,174,741.0,34804.3,100.04,99.95,TS
TS1906,20181204,,,,99.975,0,14.0,0.0,100.065,99.975,TS
TS1812,20181205,,,,100.0,0,210.0,0.0,100.125,100.09,TS
TS1903,20181205,100.145,100.15,100.055,100.065,375,750.0,75065.15,100.075,100.04,TS
TS1906,20181205,100.405,100.405,99.92,99.92,2,15.0,400.65,99.92,100.065,TS
TS1812,20181206,,,,100.0,0,210.0,0.0,100.15,100.125,TS
TS1903,20181206,100.06,100.11,100.05,100.095,98,793.0,19612.97,100.1,100.075,TS
TS1906,20181206,,,,99.92,0,15.0,0.0,99.945,99.92,TS
TS1812,20181207,,,,100.0,0,200.0,0.0,100.15,100.15,TS
TS1903,20181207,100.09,100.12,100.06,100.12,64,793.0,12812.41,100.1,100.1,TS
TS1906,20181207,,,,99.92,0,15.0,0.0,99.945,99.945,TS
TS1812,20181210,,,,100.0,0,0.0,0.0,100.185,100.15,TS
TS1903,20181210,100.125,100.165,100.11,100.135,111,850.0,22230.41,100.135,100.1,TS
TS1906,20181210,,,,99.92,0,15.0,0.0,99.98,99.945,TS
TS1812,20181211,,,,100.0,0,0.0,0.0,100.16,100.185,TS
TS1903,20181211,100.11,100.14,100.1,100.105,147,890.0,29432.27,100.11,100.135,TS
TS1906,20181211,,,,99.92,0,15.0,0.0,99.955,99.98,TS
TS1812,20181212,,,,100.0,0,0.0,0.0,100.17,100.16,TS
TS1903,20181212,100.125,100.15,100.085,100.115,70,917.0,14016.22,100.12,100.11,TS
TS1906,20181212,,,,99.92,0,15.0,0.0,99.965,99.955,TS
TS1812,20181213,,,,100.0,0,0.0,0.0,100.095,100.17,TS
TS1903,20181213,100.125,100.13,100.03,100.04,134,963.0,26816.1,100.045,100.12,TS
TS1906,20181213,,,,99.92,0,15.0,0.0,99.89,99.965,TS
TS1812,20181214,,,,100.0,0,0.0,0.0,100.07,100.095,TS
TS1903,20181214,100.03,100.065,100.0,100.025,92,980.0,18403.83,100.02,100.045,TS
TS1906,20181214,,,,99.92,0,15.0,0.0,99.865,99.89,TS
TS1903,20181217,100.01,100.03,99.985,100.01,255,991.0,51002.07,100.0,100.02,TS
TS1906,20181217,,,,99.92,0,15.0,0.0,99.845,99.865,TS
TS1909,20181217,,,,99.865,0,0.0,0.0,99.845,99.865,TS
TS1903,20181218,99.975,100.02,99.975,100.015,56,995.0,11199.2,100.01,100.0,TS
TS1906,20181218,100.21,100.21,100.045,100.045,2,15.0,400.51,100.045,99.845,TS
TS1909,20181218,,,,99.865,0,0.0,0.0,99.855,99.845,TS
TS1903,20181219,100.035,100.05,99.99,100.02,71,1006.0,14202.36,100.03,100.01,TS
TS1906,20181219,,,,100.045,0,15.0,0.0,100.065,100.045,TS
TS1909,20181219,,,,99.865,0,0.0,0.0,99.875,99.855,TS
TS1903,20181220,100.055,100.12,100.055,100.11,85,1001.0,17015.45,100.1,100.03,TS
TS1906,20181220,,,,100.045,0,15.0,0.0,100.135,100.065,TS
TS1909,20181220,,,,99.865,0,0.0,0.0,99.945,99.875,TS
TS1903,20181221,100.075,100.125,100.06,100.07,82,1017.0,16414.59,100.095,100.1,TS
TS1906,20181221,100.42,100.42,100.09,100.09,2,15.0,401.02,100.09,100.135,TS
TS1909,20181221,,,,99.865,0,0.0,0.0,99.94,99.945,TS
TS1903,20181224,100.125,100.125,100.08,100.105,97,983.0,19419.14,100.105,100.095,TS
TS1906,20181224,100.475,100.475,100.095,100.095,2,15.0,401.14,100.095,100.09,TS
TS1909,20181224,,,,99.865,0,0.0,0.0,99.95,99.94,TS
TS1903,20181225,100.1,100.15,100.085,100.11,103,1010.0,20625.07,100.12,100.105,TS
TS1906,20181225,,,,100.095,0,15.0,0.0,100.11,100.095,TS
TS1909,20181225,,,,99.865,0,0.0,0.0,99.965,99.95,TS
TS1903,20181226,100.085,100.165,100.07,100.165,94,1015.0,18822.12,100.155,100.12,TS
TS1906,20181226,,,,100.095,0,15.0,0.0,100.145,100.11,TS
TS1909,20181226,,,,99.865,0,0.0,0.0,100.0,99.965,TS
TS1903,20181227,100.16,100.17,100.09,100.17,115,987.0,23031.91,100.16,100.155,TS
TS1906,20181227,,,,100.095,0,15.0,0.0,100.15,100.145,TS
TS1909,20181227,,,,99.865,0,0.0,0.0,100.005,100.0,TS
TS1903,20181228,100.155,100.41,100.15,100.25,109,1018.0,21847.47,100.26,100.16,TS
TS1906,20181228,,,,100.095,0,15.0,0.0,100.25,100.15,TS
TS1909,20181228,,,,99.865,0,0.0,0.0,100.105,100.005,TS
TS1903,20190102,100.25,100.335,100.25,100.33,144,990.0,28888.03,100.315,100.26,TS
TS1906,20190102,,,,100.095,0,15.0,0.0,100.305,100.25,TS
TS1909,20190102,,,,99.865,0,0.0,0.0,100.16,100.105,TS
TS1903,20190103,100.34,100.34,100.29,100.34,123,976.0,24678.03,100.325,100.315,TS
TS1906,20190103,,,,100.095,0,15.0,0.0,100.315,100.305,TS
TS1909,20190103,,,,99.865,0,0.0,0.0,100.17,100.16,TS
TS1903,20190104,100.39,100.4,100.325,100.34,134,946.0,26896.07,100.35,100.325,TS
TS1906,20190104,,,,100.095,0,15.0,0.0,100.34,100.315,TS
TS1909,20190104,,,,99.865,0,0.0,0.0,100.195,100.17,TS
